"","global_level","date","cases","new_cases","deaths","new_deaths","days_since_death10","days_since_case100","pop","per100k","newper100k","deathsper100k","newdeathsper100k"
"1","Global",2020-01-22,555,555,17,17,0,0,7.6e+09,0,0,0,0
"2","Global",2020-01-23,654,99,18,1,1,1,7.6e+09,0,0,0,0
"3","Global",2020-01-24,941,287,26,8,2,2,7.6e+09,0,0,0,0
"4","Global",2020-01-25,1434,493,42,16,3,3,7.6e+09,0,0,0,0
"5","Global",2020-01-26,2118,684,56,14,4,4,7.6e+09,0,0,0,0
"6","Global",2020-01-27,2927,809,82,26,5,5,7.6e+09,0,0,0,0
"7","Global",2020-01-28,5578,2651,131,49,6,6,7.6e+09,0.1,0,0,0
"8","Global",2020-01-29,6166,588,133,2,7,7,7.6e+09,0.1,0,0,0
"9","Global",2020-01-30,8234,2068,171,38,8,8,7.6e+09,0.1,0,0,0
"10","Global",2020-01-31,9927,1693,213,42,9,9,7.6e+09,0.1,0,0,0
"11","Global",2020-02-01,12038,2111,259,46,10,10,7.6e+09,0.2,0,0,0
"12","Global",2020-02-02,16787,4749,362,103,11,11,7.6e+09,0.2,0.1,0,0
"13","Global",2020-02-03,19887,3100,426,64,12,12,7.6e+09,0.3,0,0,0
"14","Global",2020-02-04,23898,4011,492,66,13,13,7.6e+09,0.3,0.1,0,0
"15","Global",2020-02-05,27643,3745,564,72,14,14,7.6e+09,0.4,0,0,0
"16","Global",2020-02-06,30802,3159,634,70,15,15,7.6e+09,0.4,0,0,0
"17","Global",2020-02-07,34395,3593,719,85,16,16,7.6e+09,0.5,0,0,0
"18","Global",2020-02-08,37129,2734,806,87,17,17,7.6e+09,0.5,0,0,0
"19","Global",2020-02-09,40159,3030,906,100,18,18,7.6e+09,0.5,0,0,0
"20","Global",2020-02-10,42768,2609,1013,107,19,19,7.6e+09,0.6,0,0,0
"21","Global",2020-02-11,44810,2042,1113,100,20,20,7.6e+09,0.6,0,0,0
"22","Global",2020-02-12,45228,418,1118,5,21,21,7.6e+09,0.6,0,0,0
"23","Global",2020-02-13,60381,15153,1371,253,22,22,7.6e+09,0.8,0.2,0,0
"24","Global",2020-02-14,66908,6527,1523,152,23,23,7.6e+09,0.9,0.1,0,0
"25","Global",2020-02-15,69050,2142,1666,143,24,24,7.6e+09,0.9,0,0,0
"26","Global",2020-02-16,71234,2184,1770,104,25,25,7.6e+09,0.9,0,0,0
"27","Global",2020-02-17,73269,2035,1868,98,26,26,7.6e+09,1,0,0,0
"28","Global",2020-02-18,75151,1882,2008,140,27,27,7.6e+09,1,0,0,0
"29","Global",2020-02-19,75651,500,2123,115,28,28,7.6e+09,1,0,0,0
"30","Global",2020-02-20,76211,560,2248,125,29,29,7.6e+09,1,0,0,0
"31","Global",2020-02-21,76840,629,2252,4,30,30,7.6e+09,1,0,0,0
"32","Global",2020-02-22,78601,1761,2459,207,31,31,7.6e+09,1,0,0,0
"33","Global",2020-02-23,78979,378,2470,11,32,32,7.6e+09,1,0,0,0
"34","Global",2020-02-24,79543,564,2630,160,33,33,7.6e+09,1,0,0,0
"35","Global",2020-02-25,80396,853,2710,80,34,34,7.6e+09,1.1,0,0,0
"36","Global",2020-02-26,81373,977,2771,61,35,35,7.6e+09,1.1,0,0,0
"37","Global",2020-02-27,82737,1364,2814,43,36,36,7.6e+09,1.1,0,0,0
"38","Global",2020-02-28,84114,1377,2873,59,37,37,7.6e+09,1.1,0,0,0
"39","Global",2020-02-29,86009,1895,2942,69,38,38,7.6e+09,1.1,0,0,0
"40","Global",2020-03-01,88386,2377,2996,54,39,39,7.6e+09,1.2,0,0,0
"41","Global",2020-03-02,90360,1974,3085,89,40,40,7.6e+09,1.2,0,0,0
"42","Global",2020-03-03,92938,2578,3160,75,41,41,7.6e+09,1.2,0,0,0
"43","Global",2020-03-04,95237,2299,3255,95,42,42,7.6e+09,1.3,0,0,0
"44","Global",2020-03-05,98028,2791,3348,93,43,43,7.6e+09,1.3,0,0,0
"45","Global",2020-03-06,101971,3943,3460,112,44,44,7.6e+09,1.3,0.1,0,0
"46","Global",2020-03-07,106009,4038,3559,99,45,45,7.6e+09,1.4,0.1,0,0
"47","Global",2020-03-08,109960,3951,3803,244,46,46,7.6e+09,1.4,0.1,0.1,0
"48","Global",2020-03-09,113860,3900,3987,184,47,47,7.6e+09,1.5,0.1,0.1,0
"49","Global",2020-03-10,118884,5024,4266,279,48,48,7.6e+09,1.6,0.1,0.1,0
"50","Global",2020-03-11,126547,7663,4611,345,49,49,7.6e+09,1.7,0.1,0.1,0
"51","Global",2020-03-12,132297,5750,4916,305,50,50,7.6e+09,1.7,0.1,0.1,0
"52","Global",2020-03-13,146704,14407,5413,497,51,51,7.6e+09,1.9,0.2,0.1,0
"53","Global",2020-03-14,157795,11091,5830,417,52,52,7.6e+09,2.1,0.1,0.1,0
"54","Global",2020-03-15,168941,11146,6471,641,53,53,7.6e+09,2.2,0.1,0.1,0
"55","Global",2020-03-16,183597,14656,7151,685,54,54,7.6e+09,2.4,0.2,0.1,0
"56","Global",2020-03-17,199434,15837,7955,804,55,55,7.6e+09,2.6,0.2,0.1,0
"57","Global",2020-03-18,219028,19594,8852,897,56,56,7.6e+09,2.9,0.3,0.1,0
"58","Global",2020-03-19,246949,27921,9958,1108,57,57,7.6e+09,3.2,0.4,0.1,0
"59","Global",2020-03-20,276534,29585,11436,1479,58,58,7.6e+09,3.6,0.4,0.2,0
"60","Global",2020-03-21,308842,32308,13142,1710,59,59,7.6e+09,4.1,0.4,0.2,0
"61","Global",2020-03-22,342255,33413,14840,1699,60,60,7.6e+09,4.5,0.4,0.2,0
"62","Global",2020-03-23,384420,42165,16757,1917,61,61,7.6e+09,5.1,0.6,0.2,0
"63","Global",2020-03-24,425559,41154,19027,2270,62,62,7.6e+09,5.6,0.5,0.3,0
"64","Global",2020-03-25,476376,50817,21804,2777,63,63,7.6e+09,6.3,0.7,0.3,0
"65","Global",2020-03-26,539336,62960,24811,3010,64,64,7.6e+09,7.1,0.8,0.3,0
"66","Global",2020-03-27,603736,64400,28329,3518,65,65,7.6e+09,7.9,0.8,0.4,0
"67","Global",2020-03-28,671344,67608,32008,3679,66,66,7.6e+09,8.8,0.9,0.4,0
"68","Global",2020-03-29,730921,59577,35481,3473,67,67,7.6e+09,9.6,0.8,0.5,0
"69","Global",2020-03-30,795560,64639,39645,4164,68,68,7.6e+09,10.5,0.9,0.5,0.1
"70","Global",2020-03-31,871976,76416,44489,4844,69,69,7.6e+09,11.5,1,0.6,0.1
"71","Global",2020-04-01,948197,76221,50043,5554,70,70,7.6e+09,12.5,1,0.7,0.1
"72","Global",2020-04-02,1029598,81401,56348,6305,71,71,7.6e+09,13.5,1.1,0.7,0.1
"73","Global",2020-04-03,1112752,83154,62333,5985,72,72,7.6e+09,14.6,1.1,0.8,0.1
"74","Global",2020-04-04,1193128,80376,68174,5842,73,73,7.6e+09,15.7,1.1,0.9,0.1
"75","Global",2020-04-05,1264846,71718,73195,5023,74,74,7.6e+09,16.6,0.9,1,0.1
"76","Global",2020-04-06,1337518,72672,79027,5833,75,75,7.6e+09,17.6,1,1,0.1
"77","Global",2020-04-07,1414391,76873,86929,7902,76,76,7.6e+09,18.6,1,1.1,0.1
"78","Global",2020-04-08,1498166,83775,93664,6735,77,77,7.6e+09,19.7,1.1,1.2,0.1
"79","Global",2020-04-09,1584791,86625,101293,7629,78,78,7.6e+09,20.9,1.1,1.3,0.1
"80","Global",2020-04-10,1672449,87658,108565,7272,79,79,7.6e+09,22,1.2,1.4,0.1
"81","Global",2020-04-11,1749169,76720,114634,6100,80,80,7.6e+09,23,1,1.5,0.1
"82","Global",2020-04-12,1845951,96803,120365,5731,81,81,7.6e+09,24.3,1.3,1.6,0.1
"83","Global",2020-04-13,1915545,69594,126112,5747,82,82,7.6e+09,25.2,0.9,1.7,0.1
"84","Global",2020-04-14,1985472,69927,133011,6901,83,83,7.6e+09,26.1,0.9,1.8,0.1
"85","Global",2020-04-15,2066301,80829,141323,8312,84,84,7.6e+09,27.2,1.1,1.9,0.1
"86","Global",2020-04-16,2163013,96712,148606,7283,85,85,7.6e+09,28.5,1.3,2,0.1
"87","Global",2020-04-17,2250737,87724,157497,8891,86,86,7.6e+09,29.6,1.2,2.1,0.1
"88","Global",2020-04-18,2324083,73347,163955,6458,87,87,7.6e+09,30.6,1,2.2,0.1
